table,colonne,"lien_lod
"
student,,https://duraspace.org/wp-content/uploads/2020/02/vivo.owl#Student
student,name,http://data.archiveshub.ac.uk/def/
student,last_name ,http://rdfs.org/sioc/ns#last_name
student,email ,http://rdfs.org/sioc/ns#email
student,last_formation,https://vocab.org/bio/
student,current_formation,http://xmlns.com/foaf/spec/
student,image/picture,http://dbpedia.org/ontology/picture
student,objective,http://vocab.deri.ie/br#Objective
student,specialities,http://sparql.sstu.ru:3030/speciality/
student,computer,http://elite.polito.it/ontologies/dogont.owl#Computer
student,github,http://usefulinc.com/ns/doap#GitRepository
student,diigo,
student,zotero,
student,tools_student_number,
student,connexion_student_number,
student,cms_student_number,
student,social_networks_student_number,
student,spoken_languages_student_number,
student,programming_languages_student_number,
student,needs_and_skills_student_number,
student,needs_and_skills_type,
student,social_networks_student_number,
,,
cms,,http://acm.rkbexplorer.com/ontologies/acm#K.6.4
cms,wordpress,
cms,spip,
cms,joomla,
cms,lms,http://ns.inria.fr/ludo/v1/docs/xapi.html#LMS
cms,omeka_classic,
cms,omeka_s,
cms,moodel,
cms,alfresco,
cms,sharepoint,
cms,presta_shop,
cms,drupal,
,,
,,
,,
connection,,https://w3id.org/opentrafficlights#Connection
connection,4g,https://lov.linkeddata.es/dataset/lov/vocabs/stac
connection,ethernet,http://securitytoolbox.appspot.com/stac#EthernetTechnology
connection,satellite,https://www.w3.org/2003/12/exif/ns#gpsSatellites
connection,wifi,http://securitytoolbox.appspot.com/stac#WifiArchitecture
,,
,,
spoken_languages,,http://linkedvocabs.org/vocab/lingvoj/lingvoj.rdf#spokenLanguage
spoken_languages,french,
spoken_languages,english,
spoken_languages,arabic,
spoken_languages,spanish,
spoken_languages,tamazirth,
spoken_languages,italian,
spoken_languages,portuguese,
spoken_languages,german,
spoken_languages,persian,
spoken_languages,russian,
spoken_languages,chinese,
spoken_languages,japanese,
,,
,,
,,
socialnetwork,,http://elite.polito.it/ontologies/eupont.owl#SocialNetwork
socialnetwork,facebook,
socialnetwork,twitter,
socialnetwork,linkedin,
socialnetwork,instagram,
socialnetwork,whatsapp,
socialnetwork,pinterest,
socialnetwork,snapchat,
socialnetwork,discorde,
socialnetwork,telegram,
socialnetwork,gate,
socialnetwork,youtube,
socialnetwork,viadeo,
socialnetwork,skype,http://caressesrobot.org/ontology/#hasSkype
socialnetwork,sky_blog,
socialnetwork,msn,
socialnetwork,blogs,
,,
,,
,,
needs_and_skills,,www.semanticweb.org/ontologies/2008/11/OntologySecurity.owl#Skills
needs_and_skills,type,https://www.w3.org/1999/02/22-rdf-syntax-ns#type
needs_and_skills,web_edition,
needs_and_skills,html,https://bblfish.net/work/atom-owl/2006-06-06/AtomOwl.html#HTML
needs_and_skills,rwd,
needs_and_skills,static_web_site,
needs_and_skills,multimedia,https://ontology.tno.nl/saref/#Multimedia
needs_and_skills,interactive_maps,
needs_and_skills,rss,
needs_and_skills,metadata,https://sparontologies.github.io/fabio/current/fabio.html
needs_and_skills,sponsored_link,
needs_and_skills,managing_access_tools,
needs_and_skills,discussion_forum,rdfs.org/sioc/ns#Forum
needs_and_skills,newsletter,https://duraspace.org/wp-content/uploads/2020/02/vivo.owl#Newsletter
needs_and_skills,surveys,
needs_and_skills,Information_monitoring_tools,
needs_and_skills,ranking_tools,
needs_and_skills,webcasting_tools,
needs_and_skills,ecommerce_site,http://elite.polito.it/ontologies/eupont.owl#EcommerceWebSite
needs_and_skills,podcasts,
needs_and_skills,manage_website,
needs_and_skills,multilingual_site,
needs_and_skills,manage_online_community,
needs_and_skills,bdd_analyze,
needs_and_skills,bdd_model,
needs_and_skills,prototype_digital_innovations,
needs_and_skills,mange_project,
needs_and_skills,agile,
needs_and_skills,design_ux,
,,
programming_languages,,
programming_languages,javascript,http://mex.aksw.org/mex-algo#JavaScript
programming_languages,html,
programming_languages,css,https://www.netestate.de/dicom/dicom.owl#CSSFontName
programming_languages,c,http://ontology.cybershare.utep.edu/ELSEWeb/elseweb-lifemapper-parameters.owl#C
programming_languages,cpp,
programming_languages,csharp,
programming_languages,python,http://mex.aksw.org/mex-algo#Python
programming_languages,java,http://mex.aksw.org/mex-algo#Java
programming_languages,sql,http://purl.org/net/provenance/types#SQLQuery
programming_languages,lisp,
programming_languages,smaltack,
programming_languages,php,http://mex.aksw.org/mex-algo#PHP
programming_languages,vb,
programming_languages,scratch,
